ScenarioID,Vin_RMS,Pload_Pre_W,Pload_High_W,BoostInductance_uH,DCBusCapacitance_uF,LineFrequency_Hz,KP,KI,LogKP,LogKI,AcquisitionSource,AcquiredAt,Feasible,IAMP_MAX_A,SimulationSucceeded,SafetyPassed,Objective,PerformanceObjective,PreLoadMean_V,HighLoadMean_V,PostLoadMean_V,SteadyStateError_V,LoadOnUndershoot_V,LoadOffOvershoot_V,LoadOnSettling_s,LoadOffSettling_s,HighLoadRipple_Vpp,GlobalVoutMinimum_V,GlobalVoutMaximum_V,ILPeak_A,PowerFactor,THD_Percent,InputPower_W,DutyMinimum,DutyMaximum,DutyMeanHigh,DutySaturationFraction,DutyStepRMS,IrefPeak_A,IrefMeanAbsHigh_A,IrefSaturationFraction,IrefStepRMS_A,ElapsedTime_s,BaselineFileUnchanged,ErrorIdentifier,ErrorMessage
STAGE12_VALIDATED_DEMO,212,365,1275,318,1325,50.4,0.15,12,-1.89711998488588,2.484906649788,ML_RECOMMENDATION,17-Aug-2026 15:42:54,1,16,1,1,0.07864687548829,0.07864687548829,400.016539709599,400.046092179863,399.536537127719,0.269069932062648,16.9674923623086,18.2360965680624,0.04702,0.05108,8.57736634678201,378.30456825316,420.115052268724,12.4044907833486,0.973776254543117,10.5987122706181,1281.75378584306,0,0.85,0.730493335706838,0.335901660245849,0.00831898677558411,11.0266560742043,5.93245791087477,0,0.0082650590764993,28.6306861,1,,
STAGE12_UPDATED_MODEL_TEST,260,275,1000,345,1100,51.8,0.0898859291792012,12,-2.40921386611491,2.484906649788,ML_RECOMMENDATION,17-Aug-2026 15:45:50,1,16,1,1,0.0573359825581587,0.0573359825581587,400.001746807691,399.936470973451,399.71044128838,0.171156104211319,13.0022762576086,13.8058679955307,0.0326799999999999,0.0374399999999999,7.71826413731503,381.859050103215,415.48031850076,7.91031401688556,0.970460086857722,9.45407328219017,993.771698286978,0,0.85,0.627797072468845,0.177767055582361,0.00449479528660353,6.5251563128455,3.40705338852917,0,0.00483261535135471,44.9858637,1,,
GUI_PRESET_20260817_160221,260,275,1000,345,1100,51.8,0.0835449778834786,12,-2.48237013486192,2.484906649788,ML_RECOMMENDATION,17-Aug-2026 16:03:37,1,16,1,1,0.0572834243889389,0.0572834243889389,399.99835343683,399.934971625846,399.710807180015,0.171137262401256,13.2748444277502,14.0933630448025,0.03298,0.0381,7.75803513192216,381.565072790768,415.817059703436,7.96879760443845,0.970603285920574,9.36243973412799,993.835732555305,0,0.85,0.627662517321643,0.177939555151112,0.00448482125346236,6.57149496575209,3.40653113520698,0,0.00482938638685646,34.062673,1,,
GUI_PRESET_20260817_160221,220,500,1400,331,1260,50,0.15,12,-1.89711998488588,2.484906649788,ML_RECOMMENDATION,17-Aug-2026 16:22:34,1,16,1,1,0.0748019226589188,0.0748019226589188,400.005057238786,399.997607192449,399.614032833886,0.22286165702066,15.852458443806,17.0319687241111,0.0435599999999999,0.0456999999999999,9.80107360052193,378.310000796656,419.501094053764,12.5300246465761,0.977053383792668,10.4734231824729,1404.67901073435,0,0.85,0.716781706566172,0.308401728995678,0.00791421045212888,11.1423498086406,6.12435602371324,0,0.00845005283734665,30.1998282,1,,
GUI_20260817_163805,188,425,1380,270,1050,48.3,0.15,10.385905613264,-1.89711998488588,2.34044965749946,ML_RECOMMENDATION,17-Aug-2026 16:53:56,1,16,1,1,0.103930485408924,0.103930485408924,400.051326082635,399.966070239361,399.689490357671,0.182758340799361,22.9994961504348,24.8979949653708,0.0640999999999999,0.0592599999999999,12.207280151491,370.152624137932,427.883537440623,14.1144682131655,0.973161351239569,10.3004900031186,1385.50651429838,0,0.85,0.766059249078187,0.474101314746713,0.00906235209009416,12.7208056324383,7.5285876308735,0,0.010375760662856,28.3832387,1,,
GUI_20260819_083400,212,365,1275,250,1325,50.4,0.15,12,-1.89711998488588,2.484906649788,ML_RECOMMENDATION,19-Aug-2026 09:03:19,1,16,1,1,0.0855882275533011,0.0855882275533011,400.023145786225,400.046976111276,399.534386282598,0.270517169068848,16.9086027240016,18.1481136211714,0.04734,0.0518799999999999,8.61884909481688,378.389992871787,420.029965151687,12.9910842800726,0.962986360467506,11.0567997998788,1280.76628888085,0,0.85,0.738767500909472,0.378451553871115,0.00917826128006981,11.5748564476331,6.2749584537597,0,0.00878491163870921,48.1302644,1,,
GUI_20260819_083400,180,365,1275,250,952,53,0.15,10.385905613264,-1.89711998488588,2.34044965749946,ML_RECOMMENDATION,19-Aug-2026 09:15:52,1,16,1,1,0.117816726750418,0.117816726750418,400.024479571863,398.477637560588,399.723002486765,0.893479018352934,24.1230812645565,25.9133635184398,0.07516,0.06158,11.2856037171902,369.420385896724,428.523327255168,13.7926418264881,0.967099601887466,11.0330213972595,1270.42802148462,0,0.85,0.775073130317573,0.535131162172095,0.00996726465620274,12.4094468372558,7.41162272600115,0,0.011352739149514,25.3069291,1,,
GUI_20260819_083400,180,365,1400,250,952,53,0.15,10.385905613264,-1.89711998488588,2.34044965749946,ML_RECOMMENDATION,19-Aug-2026 09:33:06,0,16,1,0,1000000,0.327096584845677,400.024995115532,391.291437400219,399.903067980771,5.02822311645155,27.0391774097187,26.8210743347621,0.390566037735849,0.0648599999999999,12.4335804037426,365.894924727621,429.369917437127,13.8754246474819,0.971744131247796,9.92124866885698,1347.22952948702,0,0.85,0.770965459362147,0.509716225709436,0.00971422127948598,12.47711441239,7.69928326939666,0,0.0117205249065291,27.649643,1,,
GUI_20260819_083400,180,365,1400,250,952,53,0.01,0.8,-4.60517018598809,-0.22314355131421,FALLBACK_BASELINE,19-Aug-2026 09:33:37,0,16,1,0,1000000,1.64205200189138,403.86561774119,385.276659543781,365.68909552044,21.6714706539592,85.8338485351717,22.3853754568559,0.390566037735849,0.38,33.3834912932151,309.09354324936,430.03907287189,13.8720480640187,0.972727901071028,9.80058078690908,1352.70125660684,0,0.85,0.746179460326866,0.409393976515059,0.00870004257314164,12.4772417831988,6.62706546831876,0,0.0102693728515942,30.2704522,1,,
GUI_20260819_083400,180,365,1400,250,952,53,0.0599776526,4.9870628691,-2.81378324280591,1.60684713308168,FALLBACK_BENCHMARK,19-Aug-2026 09:34:16,0,16,1,0,1000000,0.424144284067153,399.810150973452,391.20793604075,395.646326214599,5.66541868844403,42.481438507579,22.7984537566412,0.390566037735849,0.1327,12.9655978590628,351.008001196594,430.026440442015,13.875455543232,0.971897518634569,9.88453727931925,1347.77997506269,0,0.85,0.768624127487094,0.499023752440619,0.00953886338449695,12.4771133901413,7.56399755082727,0,0.0115463508231257,38.2729022,1,,
