PlanIndex,RunID,PointName,Split,LogKP,LogKI,ScenarioID,Vin_RMS,Pload_Pre_W,Pload_High_W,BoostInductance_uH,DCBusCapacitance_uF,LineFrequency_Hz,KP,KI,IAMP_MAX_A,SimulationSucceeded,SafetyPassed,Objective,PerformanceObjective,PreLoadMean_V,HighLoadMean_V,PostLoadMean_V,SteadyStateError_V,LoadOnUndershoot_V,LoadOffOvershoot_V,LoadOnSettling_s,LoadOffSettling_s,HighLoadRipple_Vpp,GlobalVoutMinimum_V,GlobalVoutMaximum_V,ILPeak_A,PowerFactor,THD_Percent,InputPower_W,DutyMinimum,DutyMaximum,DutyMeanHigh,DutySaturationFraction,DutyStepRMS,IrefPeak_A,IrefMeanAbsHigh_A,IrefSaturationFraction,IrefStepRMS_A,ElapsedTime_s,BaselineFileUnchanged,ErrorIdentifier,ErrorMessage
1,S7_01_01,SAFE_BASELINE,test,-4.60517018598809,-0.22314355131421,STAGE7_01,180,300,1400,248.8,952,47,0.01,0.8,16,1,0,1000000,1.60762618929772,403.712596731546,384.508988439212,369.55477291995,19.8382346797236,92.1906225626637,23.0760823455786,0.38936170212766,0.38,37.8427911903681,302.262242446579,430.064345922026,13.8759418816409,0.972445885830857,9.92558644601301,1346.31156325851,0,0.85,0.74386316065463,0.405926485183787,0.00837801447007993,12.4771667122472,6.54908417474879,0,0.00913591270369316,60.598829,1,,
2,S7_01_02,PREVIOUS_BENCHMARK,test,-2.81378324280591,1.60684713308168,STAGE7_01,180,300,1400,248.8,952,47,0.0599776526,4.9870628691,16,1,0,1000000,0.443147560871171,399.734311876916,390.822637976806,396.416534981618,5.69021925240985,45.2298108435498,23.0280671691462,0.38936170212766,0.14096,14.609663830884,348.173546498441,430.030794134043,13.8753404751244,0.971222468741369,10.081354773099,1344.52957478965,0,0.85,0.768643993954116,0.499888750278124,0.00926042157209908,12.4772634549496,7.54836279201745,0,0.0103554269108399,48.2757425,1,,
3,S7_01_03,STRONG_FIXED,test,-1.89711998488588,2.484906649788,STAGE7_01,180,300,1400,248.8,952,47,0.15,12,16,1,0,1000000,0.37788219222532,400.022037039462,391.081218553381,398.890445940409,5.18897094277273,27.8195897304261,26.897681422535,0.38936170212766,0.11362,14.0750319300452,364.929855648367,430.001201102353,13.8751841305159,0.971403463064705,9.99529032449539,1345.19577876052,0,0.85,0.771406031175594,0.511343721640696,0.00943626976348159,12.4772501280211,7.7017022309178,0,0.0105239834876104,47.5847045,1,,
4,S7_01_04,DOE_RANDOM_1,test,-4.8181140748795,-0.155824451694009,STAGE7_01,180,300,1400,248.8,952,47,0.00808201485025507,0.855709395521307,16,1,0,1000000,1.50722175238309,401.306508947773,386.209396639753,370.768131367591,18.6760974725514,91.3170065527228,23.1067976793846,0.38936170212766,0.38,33.3517311349531,303.291861111791,430.110878760334,13.8728010043998,0.972273324137976,9.92981875655256,1350.25082742171,0,0.85,0.745644368934362,0.413398966502584,0.00845772501053906,12.4772761237775,6.6293539990251,0,0.00924713398392333,45.3876932,1,,
5,S7_01_05,DOE_RANDOM_2,test,-3.05376278353303,2.31465475812651,STAGE7_01,180,300,1400,248.8,952,47,0.047181057856794,10.1214279747212,16,1,0,1000000,0.436978054103568,400.05179605978,391.046763968885,398.214383094226,5.27103867040942,36.9424747056339,23.0988345288258,0.38936170212766,0.16272,14.1032523021719,354.941996599668,430.03891302208,13.8745962302184,0.971366508943186,10.0057845025101,1345.17742771166,0,0.85,0.770320383906968,0.507963730090675,0.00940119999139003,12.4773334309763,7.64233622323636,0,0.0104700010720066,46.2616401,1,,
6,S7_01_06,DOE_RANDOM_3,test,-2.01099310270141,0.389228605183034,STAGE7_01,180,300,1400,248.8,952,47,0.13385567620553,1.4758418978792,16,1,0,1000000,0.702764173454249,400.510643479891,385.61193206605,388.550250319188,10.6203267901504,44.4985689724584,26.2280459300405,0.38936170212766,0.24244,20.0338743218869,349.062307416165,430.012936289243,13.8747361909279,0.97104283154529,10.6529033537738,1320.61511215198,0,0.85,0.763788662735309,0.475918810202974,0.00916544917547074,12.4768100658852,7.23909374338176,0,0.0098964666263699,39.8754215,1,,
7,S7_02_01,SAFE_BASELINE,train,-4.60517018598809,-0.22314355131421,STAGE7_02,230,300,1100,311,1360,50,0.01,0.8,16,1,1,0.648700176000908,0.648700176000908,403.511811263184,402.764160361255,386.484254714438,8.21885578968956,55.2573474834028,27.556044752405,0.20736,0.38,23.2803725654564,341.315948885454,430.011565869099,9.43157498245589,0.968694883240449,9.21789875002947,1154.17113938314,0,0.85,0.670351125245579,0.221716945707636,0.00588774154794435,8.01661962956342,4.21584191759654,0,0.00589148501755926,33.3396066,1,,
8,S7_02_02,PREVIOUS_BENCHMARK,train,-2.81378324280591,1.60684713308168,STAGE7_02,230,300,1100,311,1360,50,0.0599776526,4.9870628691,16,1,1,0.130134554714229,0.130134554714229,399.973920579122,399.722980620122,400.922943043892,0.556550008322005,23.1341015560506,24.9775767638815,0.0726399999999999,0.15652,8.77565773608222,372.986905205558,426.362011821043,10.2070682423539,0.968260764024469,9.25268941536136,1101.5267381903,0,0.85,0.697452416323932,0.242259394351514,0.00628147282083653,8.78810003371647,4.5813811278063,0,0.00626926095205744,27.9667445,1,,
9,S7_02_03,STRONG_FIXED,train,-1.89711998488588,2.484906649788,STAGE7_02,230,300,1100,311,1360,50,0.15,12,16,1,1,0.0662901859587696,0.0662901859587696,400.013977480401,400.007506786373,399.603118906409,0.229322425309888,13.3331946195381,14.0777796406177,0.0404,0.0444399999999998,7.17291462083841,382.283175033906,415.640962550108,10.1514145123557,0.966760879627274,10.2419266902377,1100.06340472079,0,0.85,0.69998163980574,0.244114389714026,0.00665245450090439,8.74536575425057,4.62702438961049,0,0.00633162163095595,29.4284762,1,,
10,S7_02_04,DOE_RANDOM_1,train,-3.15384787352071,-0.33548037928077,STAGE7_02,230,300,1100,311,1360,50,0.0426875541333516,0.714994535281146,16,1,1,0.545031561053592,0.545031561053592,403.106973514042,393.242395995937,389.236671399159,7.55353645348485,41.7103944088464,25.8467439749231,0.26322,0.29324,21.9809510387454,354.895496186872,430.00740845156,8.78359732124998,0.97004765964867,9.08190585996201,1107.67587149974,0,0.85,0.673033295553875,0.209046977382557,0.00548120180072924,7.37102639128595,4.10783319414099,0,0.00565119311364424,33.1379929,1,,
